Game Title,Platform,Link
Apex Legends,Steam,https://www.metacritic.com/game/pc/apex-legends
Counter Strike source,Steam,https://www.metacritic.com/game/pc/counter-strike-source
Destiny 2,Steam,https://www.metacritic.com/game/pc/destiny-2
Golf It,Steam,https://www.metacritic.com/game/pc/golf-it!
Half Life 2,Steam,https://www.metacritic.com/game/pc/half-life-2
Half Life Source,Steam,https://www.metacritic.com/game/pc/half-life-source
Hell Let Loose ,Steam,https://www.metacritic.com/game/pc/hell-let-loose
Lara Croft and the Guardian of Light,Steam,https://www.metacritic.com/game/pc/lara-croft-and-the-guardian-of-light
Lara Croft and the Temple of Osiris,Steam,https://www.metacritic.com/game/pc/lara-croft-and-the-temple-of-osiris
Path of Exile,Steam,https://www.metacritic.com/game/pc/path-of-exile
Portal,Steam,https://www.metacritic.com/game/pc/portal
Portal 2,Steam,https://www.metacritic.com/game/pc/portal-2
Return of the Obra Dinn,Steam,https://www.metacritic.com/game/pc/return-of-the-obra-dinn
Risk: Global Domination,Steam,https://www.metacritic.com/game/pc/risk-global-domination
Slime Rancher,Steam,https://www.metacritic.com/game/pc/slime-rancher
Team Fortress 2,Steam,https://www.metacritic.com/game/pc/team-fortress-2
Titanfall 2,Steam,https://www.metacritic.com/game/pc/titanfall-2
Warface,Steam,https://www.metacritic.com/game/pc/warface
Warframe,Steam,https://www.metacritic.com/game/pc/warframe
Absolute Drift,Epic,https://www.metacritic.com/game/pc/absolute-drift
Abzu,Epic,https://www.metacritic.com/game/pc/abzu
AER Memories of Old,Epic,https://www.metacritic.com/game/pc/aer-memories-of-old
Alan Wake,Epic,https://www.metacritic.com/game/pc/alan-wake
Alien: Isolation,Epic,https://www.metacritic.com/game/pc/alien-isolation
Amnesia: The Dark Descent,Epic,https://www.metacritic.com/game/pc/amnesia-the-dark-descent
Among the Sleep,Epic,https://www.metacritic.com/game/pc/among-the-sleep
Among Us,Epic,https://www.metacritic.com/game/pc/among-us
Ape Out,Epic,https://www.metacritic.com/game/pc/ape-out
ARK:Survival Evolved,Epic,https://www.metacritic.com/game/pc/ark-survival-evolved
Aven Colony,Epic,https://www.metacritic.com/game/pc/aven-colony
Bad North Jotunn Edition,Epic,https://www.metacritic.com/game/pc/bad-north-jotunn-edition
Batman Arkham Asylum ,Epic,https://www.metacritic.com/game/pc/batman-arkham-asylum
Batman Arkham City,Epic,https://www.metacritic.com/game/pc/batman-arkham-city
Batman Arkham Knight,Epic,https://www.metacritic.com/game/pc/batman-arkham-knight
Blair Witch,Epic,https://www.metacritic.com/game/pc/blair-witch
Borderlands 2,Epic,https://www.metacritic.com/game/pc/borderlands-2
Borderlands: The Pre-Sequel,Epic,https://www.metacritic.com/game/pc/borderlands-the-pre-sequel
Carcassonne,Epic,https://www.metacritic.com/game/pc/carcassonne-tiles-tactics
Cave Story+,Epic,https://www.metacritic.com/game/pc/cave-story-plus
Celeste,Epic,https://www.metacritic.com/game/pc/celeste
Cities: Skyline,Epic,https://www.metacritic.com/game/pc/cities-skylines
City of Brass,Epic,https://www.metacritic.com/game/pc/city-of-brass
Conarium,Epic,https://www.metacritic.com/game/pc/conarium
Control,Epic,https://www.metacritic.com/game/pc/control
Core,Epic,NA
Crashlands,Epic,https://www.metacritic.com/game/pc/crashlands
Creature in the Well,Epic,https://www.metacritic.com/game/pc/creature-in-the-well
Crying Suns,Epic,https://www.metacritic.com/game/pc/crying-suns
Dandara: Trials of Fear Edition,Epic,https://www.metacritic.com/game/pc/dandara
Darkest Dungeon,Epic,https://www.metacritic.com/game/pc/darkest-dungeon
Darksiders II Deathinitive Edition,Epic,https://www.metacritic.com/game/pc/darksiders-ii-deathinitive-edition
Darksiders Warmastered Edition,Epic,https://www.metacritic.com/game/pc/darksiders-warmastered-edition
Darq,Epic,https://www.metacritic.com/game/pc/darq
Dauntless,Epic,https://www.metacritic.com/game/pc/dauntless
Defense Grid: The Awakening,Epic,https://www.metacritic.com/game/pc/defense-grid-the-awakening
Enter the Gungeon,Epic,https://www.metacritic.com/game/pc/enter-the-gungeon
Europa Universalis IV,Epic,https://www.metacritic.com/game/pc/europa-universalis-iv
Everything,Epic,https://www.metacritic.com/game/pc/everything
