,Title,Release Date,Description,MetaScore,User Score
0,Apex Legends,4-Feb-19,"Conquer with character in Apex Legends, a free-to-play Battle Royale shooter where legendary characters with powerful abilities team up to battle for fame and fortune on the fringes of the Frontier. Master an ever-growing roster of diverse legends, deep tactical squad play, and bold new innovations that level-up the Battle Royale experience—all within a rugged world where anything goes. Welcome to the next evolution of Battle Royale.",88,6
1,Counter-Strike: Source,7-Oct-04,"Valve has taken a large selection of the maps from Counter-Strike 1.6 - Office, Havana, Italy, Aztec, Chateau, Cobble, Piranesi and of course eternal favourites Dust and Dust 2, and recreated them for the source engine. This means all new textures and major aesthetic changes with more complex buildings and scenery. In addition, the levels are scattered with objects that react realistically with the Source engine's physics engine. [GamersEurope.com] The game is available through Valve's Steam downloading service and is distributed with ""Half-Life 2.""",88,8.9
2,Destiny 2,24-Oct-17,"In Destiny 2, the last safe city on Earth has fallen and lays in ruins, occupied by a powerful new enemy and his elite army, the Red Legion. Every player creates his own character called a “Guardian,” humanity’s chosen protectors.  As a Guardian in Destiny 2, players must master new abilities and weapons to reunite the city’s forces, stand together and fight back to reclaim their home. In Destiny 2 players embark on a fresh story filled with new destinations around our solar system to explore, and an expansive amount of activities to discover.  There is something for almost every type of gamer in Destiny 2, including gameplay for solo, cooperative and competitive players set within a vast, evolving and exciting universe. [Bungie]",83,4.3
3,Golf It!,TBA - Early Access,"Golf It! is a multiplayer Minigolf game with focus on a dynamic, fun and creative multiplayer experience. One of the most exciting features is a Multiplayer Editor, where you can build and play custom maps together with your friends.Every map has unique gameplay features and different aesthetics. Every asset of each area and more will be available for you inside the Multiplayer Editor and you are free to mix them all together to create the map of your desires!",No Score,No Score
4,Half-Life 2,16-Nov-04,"[Metacritic's 2004 PC Game of the Year]  By taking the suspense, challenge and visceral charge of the original, and adding startling new realism and responsiveness, Half-Life 2 opens the door to a world where the player's presence affects everything around him, from the physical environment to the behaviors -- even the emotions -- of both friends and enemies. The player again picks up the crowbar of research scientist Gordon Freeman, who finds himself on an alien-infested Earth being picked to the bone, its resources depleted, its populace dwindling. Freeman is thrust into the unenviable role of rescuing the world from the wrong he unleashed back at Black Mesa. And a lot of people -- people he cares about -- are counting on him. [Vivendi Universal]",96,9.2
5,Half-Life: Source,16-Nov-04,"Winner of over 50 Game of the Year awards, Half-Life set new standards for action games when it was released in 1998. Half-Life: Source is a digitally remastered version of the critically acclaimed and best selling PC game, enhanced via Source technology to include physics simulation, enhanced effects, and more.",No Score,8.2
6,Hell Let Loose,27-Jul-21,"Amazing game!! I’m playing video games since almost 30 years now and it became recently very hard to find a game to really impress me and give me the feeling of being kind of addicted.. this one did. Started at the day of official release and I’m hooked since day one. The community at Discord is just great. They really help you out with every question and are open to play together to get you in. This is not a mainstream type of game like CoD or Battlefield, it doesn’t even try. My biggest concern was the “forced” Voice over IP, but it even turned out to be one of the biggest highlights of the game. The immersion is just insane when you hear your team members scream for a medic while the artillery is bombing all over you.. you can hear the voices of your team members according to the directions where they are located. The sound of the game is in general the best I ever had in an online shooter, still giving me goosebumps when it kicks in. An absolute masterpiece and must play for every fan of hardcore shooters and realism!! Thanks to the developers for making this happen!!!!",79,6.3
7,Lara Croft and the Guardian of Light,28-Sep-10,"Lara Croft and the Guardian of Light is the first ever downloadable, co-op action/adventure game featuring Lara Croft. This brand extension incorporates the hallmarks of the Tomb Raider franchise including exploration, discovery, platforming, and puzzle solving. Lara Croft and the Guardian of Light allows players to experience Lara Croft from an isometric viewpoint, and combines new gameplay features such as character progression, fun fast-paced combat, and elements of cooperation and competition. Lara Croft and the Guardian of Light will be available to download this summer.",82,8
8,Lara Croft and the Temple of Osiris,8-Dec-14,"Lara Croft and the Temple of Osiris is the sequel to Lara Croft and the Guardian of Light. In her new adventure, Lara Croft travels to Egypt and realized she must join forces with rival treasure hunter Carter Bell and imprisoned gods Horus and Isis to defeat the evil god Set. Featuring a 4-player co-op story, players must work together to explore the temple, defeat hordes of enemies from the Egyptian underworld, solve devious puzzles, and avoid deadly traps. At the same time, players compete for treasure, powerful artifacts, and ultimate bragging rights. ",73,5.7
9,Path of Exile,25-Jan-13,"Path of Exile is an online Action RPG set in the dark fantasy world of Wraeclast. They're a small independent team of hardcore gamers based in New Zealand and have created Path of Exile as the game that they'd want to play themselves. It is designed around a strong barter-based online item economy, deep character customisation, competitive PvP and ladder races. The game is completely free and will never be ""pay to win"". [Grinding Gear Games]",86,8
